will it rain today in French Southern Territories of Highland Beach  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to listen to a popular melody by David Bazan  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can you find me The Ridiculous 6 book?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Give this book a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
What time will the Amco Entertainment  be plying The Teeth of the Tiger  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Three in the Attic  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me the forecast for Wisconsin  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Manthra Mothiram at Century Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you pull up My Name Is Brain Brian  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is The Man Who Won playing at 6 P.M.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Rate this book a four.  [predicted:  BookRestaurant ; correct:  RateBook ]
Can I buy the book Vacation of Petrov and Vasechkin online?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where and when can I see The Image Makers  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where can Ifind You Know Me, a saga  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want the song Phrazes for the Young  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see showings for The Voice of Merrill at my cinema.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find National Amusements with Honey, I Shrunk the Kids  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the song Aura II: The Sacred Rings  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need the book titled Lullaby of Broadway  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What is Fantasy Zone II: The Tears of Opa-Opa  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is You Will Meet a Tall Dark Stranger at Bow Tie Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is it overcast in Brazil in within walking distance  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Rate this book a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
Will it be snowy at the current position by March 3?  [predicted:  RateBook ; correct:  GetWeather ]
read the Background to Danger book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Rate Deception a one  [predicted:  GetWeather ; correct:  RateBook ]
Where is Journal of Geriatric Psychiatry and Neurology  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find a saga with 0 rating called Poems for Midnight  [predicted:  SearchCreativeWork ; correct:  RateBook ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to listen to the song Shamus  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
this chronicle rates a one for First Contact?  [predicted:  GetWeather ; correct:  RateBook ]
Play something off my New Boots playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Showtimes for Medal for the General  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Show me the forecast for Anatone Louisiana on November 7th  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I'm wondering if I can watch Heyy Babyy at a cinema.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give After Worlds Collide a 1  [predicted:  GetWeather ; correct:  RateBook ]
A Conspiracy of Paper deserves a solid 3  [predicted:  GetWeather ; correct:  RateBook ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
hannah lewis and chelsea want to go to a cafe in Botswana on Apr. the seventeenth, 2024  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a reservation in Deweese for my sister and I  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Give me the schedule for Getting There: Sweet 16 and Licensed to Drive  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Italy Has Awakened at a Goodrich Quality Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show freezing forcast now within the same area in North Dakota  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find The Watcher at United Paramount Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me Third Man on the Mountain at a cinema  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the soundtrack for The Lord of the Rings: Conquest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is Lost Land of the Tiger  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Kebab Connection  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give me a list showtimes for The Night of Taneyamagahara  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want ohear the 1996 soundtrack from deezer  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please include danni bassan in my Perfect Concentration  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
is Transcending Fear at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please include Emily Remler in Indie Bluegrass  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
find 16 starting time for Heavenly Body  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
The Forest should be rated a four  [predicted:  BookRestaurant ; correct:  RateBook ]
Lets eat at Newport Creamery in Carnot  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Metal Crash Course playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
rate the book saga West with the Night a 2  [predicted:  BookRestaurant ; correct:  RateBook ]
forecase for Ohio in twenty one hours and one second  [predicted:  BookRestaurant ; correct:  GetWeather ]
find A Feather in Her Hat at Magic Johnson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the weather prediction for Camdeboo-Nationalpark for jan. eleventh, 2037.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Please look for The Pagans at movie house.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I give The Spirit of St. Louis a 1  [predicted:  GetWeather ; correct:  RateBook ]
Where can I get the novel Flesh-Colored Horror  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to play the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Flying Ace  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give one point to Compendium of Analytical Nomenclature  [predicted:  GetWeather ; correct:  RateBook ]
look for the book The Girl Who Was Plugged In  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Look for the District 9 novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Rate The Keys to the White House a zero  [predicted:  GetWeather ; correct:  RateBook ]
Will it be stormy on 4/3/2027 in New Rochelle, WY  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
read the novel Friend: The Great Legacy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Show me a novel by Onnaam Muhurtham  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Gods and Pawns should get a three  [predicted:  GetWeather ; correct:  RateBook ]
rate the book series Sons of Destiny a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Can I get The Marine 2 showtimes.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
read the novel On-Line Encyclopedia of Integer Sequences  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play saga The Yellow Rose of Texas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to watch The Freckled Fish at 00:47:43 at Magic Johnson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch The Utopian Society  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it going to be chillier in New Mexico this spring?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can i get todays showtimes for Le Flic de Beverly Hills 2?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
11 seconds from now find a cinema with First Monday in October  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where Can I watch Chaos and Desire?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find the schedule for The Wild Eye.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
will it be sunny in my current place at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
When can I see Salaam-e-Ishq: A Tribute To Love at B&B Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
can you find me a showing for Before the Music Dies in one second ?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets go to the Rainforest Cafe that is in the same area as 135th St  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Listen to Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Welcome to the El-Palacio, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the movie CURL  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to watch Sherlock Holmes à New York at KB Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate the book Whit a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
I want to know the weather in ten weeks from now in John N and Melba S Anderson Memorial Conservation Area  [predicted:  BookRestaurant ; correct:  GetWeather ]
I'm looking to watch Savage Grace at Showcase Cinemas at thirteen o'clock.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate The Book of Three a five  [predicted:  BookRestaurant ; correct:  RateBook ]
where is Wild America showing at zero P.M.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Include hohenfriedberger marsch to my Novedades Pop list.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play The Sea Cabinet  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
i want to watch Ghosts of the Abyss at Kerasotes Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give two star to As Long as We Both Shall Live book  [predicted:  BookRestaurant ; correct:  RateBook ]
casey chavez, lucinda and karina want to eat at a diner on december the 7th  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Find me a coffeehouse for nine in Indiana that has access to a pool  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will it be chillier at my current location in one minute?  [predicted:  RateBook ; correct:  GetWeather ]
I'd like to watch Wish You Were Dead  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the book Sell Your Body?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I need to know if its humid in Greenback in Mongolia  [predicted:  BookRestaurant ; correct:  GetWeather ]
Wish to hear the album Since I Saw You Last  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
My Idea of Fun is a book that should get 2 stars.  [predicted:  BookRestaurant ; correct:  RateBook ]
give 1 star to The Cure for Death by Lightning  [predicted:  GetWeather ; correct:  RateBook ]
Will it feel nicer in Finland or New Mexico today  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
rate the book The Guernsey Literary and Potato Peel Pie Society a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Find films available at Cooper Foundation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When can I see Journey to the End of the Night?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is Dishyum at the cinema  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where is Mother and Child plkaying  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Vegucated starting at zero pm  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate the book chronicle The Obama Nation a 4  [predicted:  BookRestaurant ; correct:  RateBook ]
Look up The Collection Volume One novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Invisible Child at Southern Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is Dear Old Girl Cooper Foundation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play Print the Legend soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What time is I Know That You Know That I Know lpaying  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want a list of films that are going to be shown in the neighborhood.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be freezing within walking distance of Alaska?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to see Snowball Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
SCORE:  2957 / 3140  ( 0.9417197452229299 )
Plan an album by Roni Duani.  [predicted:  GetWeather ; correct:  PlayMusic ]
Play Everybody Wins trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be hotter in my current place in six weeks from now  [predicted:  RateBook ; correct:  GetWeather ]
look for the book titled Iranian Journal of Fuzzy Systems  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Put any 1972 record on.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
therese, clara and I want to go to the Tennessee Ridge  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Where to buy Unarchigal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
