what will be the temperature 1 minute and 8 seconds from now in Green Bottom Wildlife Management Area  [predicted:  BookRestaurant ; correct:  GetWeather ]
Is it going to be nice at 6 AM at Chippewa Lake  [predicted:  RateBook ; correct:  GetWeather ]
show me the movie called People and Masks Part 2  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to go to the Freight House in Gabon  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where can I view the photograph Dinosaur from the Deep?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
what time can i see The Half Naked Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me showtimes for A Christmas Story starting at eleven o'clock.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Watcher at United Paramount Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a top fifty zahir howaida concerto from the seventies  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What is the price for the album Praise the Lord and Pass the Ammunition?  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I want tables for 6 at a kosher steakhouse around Kosovo  [predicted:  RateBook ; correct:  BookRestaurant ]
Play me a trailer for The North-West Passage  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it get windy close by here?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find the movie Take Another Picture  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
can you add xanadu to Latin Alternative Music  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find the Ghostly Swim 2 book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play me an album by Lunchbox  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate this book a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
Will it get colder in Camp San Saba, Latvia in one minute and eight seconds  [predicted:  BookRestaurant ; correct:  GetWeather ]
When can I watch Alice: A True Story at AMC Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
casey and I will be in Kentucky for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can I get The Marine 2 showtimes.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is F.I.S.T. at Malco Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I need to hear a thirties soundtrack  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is You Will Meet a Tall Dark Stranger at Bow Tie Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to watch the movie Godslayer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will it be snowy at the current position by March 3?  [predicted:  RateBook ; correct:  GetWeather ]
play A Box of Birds trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find A Feather in Her Hat at Magic Johnson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Sort to the last song on playlist from 1983 a chant by Mark Oliver Everett  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to listen to the song Only the Greatest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
i want to watch Ghosts of the Abyss at Kerasotes Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be freezing close to my current location  [predicted:  RateBook ; correct:  GetWeather ]
I want to see Outcast.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I would like to rate The Giant Devil Dingo a 4.  [predicted:  BookRestaurant ; correct:  RateBook ]
The book History of Shit should be rated 2 out of 6.  [predicted:  BookRestaurant ; correct:  RateBook ]
Gods and Pawns should get a three  [predicted:  GetWeather ; correct:  RateBook ]
find The Branded Woman  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Baby Workout  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
include pat smear on Guest List Engadget  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I'd like to see Hannah Montana and Miley Cyrus: Best of Both Worlds Concert  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want the movie Perseo Miranda and his Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate the book The Orchard Book of First Greek Myths a 0  [predicted:  BookRestaurant ; correct:  RateBook ]
Show me the movie Operetta for the Theatre Organ  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Search for the Exiles of Time book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Lets go far to The Wolseley in Maine  [predicted:  GetWeather ; correct:  BookRestaurant ]
When can I see Journey to the End of the Night?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
get me House of Stairs  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to watch Army at Wanda Group  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a popular moroccan cafeteria  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can I get the showtimes for The Man Who Could Talk to Kids?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get hotter around elevenses in KS?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to watch Wide-Eyed and Ignorant  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What type of movie  is Houston Press?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play 30 Greatest Hits  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want global top 50 to have marit bergman added to it.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Where can I listen to the song The Imposter?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find five points called The Origins of Virtue  [predicted:  SearchCreativeWork ; correct:  RateBook ]
I'm wondering if I can watch Heyy Babyy at a cinema.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play If You Go  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be warm in the current place next spring  [predicted:  RateBook ; correct:  GetWeather ]
book at Dutchess Manor in Portugal for 6  [predicted:  RateBook ; correct:  BookRestaurant ]
Play The Last Mile album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is A Short Film About Killing at North American Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
forecase for Ohio in twenty one hours and one second  [predicted:  RateBook ; correct:  GetWeather ]
Will it get chillier in North Creek Forest?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
play the Putrefactive Infestation trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Nightbirds on Nantucket soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
me, maggie and ellen want to eat at Lentil as Anything  [predicted:  GetWeather ; correct:  BookRestaurant ]
play the Caps Lock trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Wish to hear a concerto by Diplo from 1952  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
does Mexican Werewolf start at three am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where is Mother and Child plkaying  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I need seats for 6 at a place in AK  [predicted:  RateBook ; correct:  BookRestaurant ]
I want to listen to the song First Time for Everything  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the schedule for Tailspin Tommy in the Great Air Mystery.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the Baldur’s Gate II: Throne of Bhaal saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Myth II: Soulblighter  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Plpay my Disco Fever playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
add repent replenish repeat to Classical Moments in Movies  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Will it be overcast at lunch time in Saint Vincent and the Grenadines  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to go see A Simple Noodle Story in seventeen seconds at Goodrich Quality Theaters.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Whosoever Shall Offend at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Locate me the novel entitled Isthmus.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Use service Vimeo to play music from the artist Mick track Now We Are 5  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find the schedule for Great Mail Robbery.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to watch Manthan  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find The Colour of the Chameleon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Could I download Chavez: Inside the Coup?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to watch the movie Maxime  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to listen to the song The Loving Spirit  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the Cabin Fever 2: Spring Fever saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
this track should get added to Spain Top 50  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to see Medal for the General  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to read the book The Minotaur  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What time is 楽園追放 -Expelled from Paradise-  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is it warm in the current spot?  [predicted:  RateBook ; correct:  GetWeather ]
listen to Pmd symphony  [predicted:  GetWeather ; correct:  PlayMusic ]
Where can I purchase Wuthering Heights  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can I see Ellis Island Revisited in 1 minute  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you pull up Queen of the Organ  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find the schedule for The Pearl of Cleopatra.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look up The Making of Milwaukee  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it get hotter in the city of Ashford?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Reserve me seating midday at Bear Hotel  [predicted:  GetWeather ; correct:  BookRestaurant ]
Will it be hot in my current location this week?  [predicted:  RateBook ; correct:  GetWeather ]
Where to buy book Bright Ambush  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Please open pandora for me  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Look up Applied Linguistics  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want lance king in my list called One Love  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I want to see DOA: Dead or Alive at Loews Cineplex Entertainment.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to see Return to Yesterday  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to hear chant songs from nineties  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Keep Their Heads Ringin’  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to watch The Freckled Fish at 00:47:43 at Magic Johnson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
add September to winter music  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
i want to see JLA Adventures: Trapped In Time  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Looking for novel Build Engine  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
which day this week will it get chilly in Palmetto, IN  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to hear the song Impractical Jokers UK  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When is Spyforce playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to see Fear Chamber.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
The book History by Contract is rated five stars in my opinion.  [predicted:  BookRestaurant ; correct:  RateBook ]
Show me the movie Sonic Triple Trouble  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will it be cloudy one hour from now in my current position  [predicted:  RateBook ; correct:  GetWeather ]
Can I get the showtimes for The Scarlet and the Black  at 12 pm.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you locate the saga for the Ringo Sheena discography  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to read the novel Love Is in Control  [predicted:  RateBook ; correct:  SearchCreativeWork ]
play Clifford Brown All Stars by Michael Balzary  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I watch Gaddar: The Traitor?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to hear the sound track to Mary Macgregor new songs on Iheart  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want a list of showings of Days of Fire at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
table for 5 AM. at Baker’s Keyboard Lounge  [predicted:  RateBook ; correct:  BookRestaurant ]
find Quiet Night In  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to listen to a concerto from Timour Moutsouraev.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Put gregory douglass in Halloween Teens please  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I'd say Life in the Iron Mills was a five  [predicted:  GetWeather ; correct:  RateBook ]
find Andreas Hofer at elevenses  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play The News Virginian song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Shattered Image.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When can I see Salaam-e-Ishq: A Tribute To Love at B&B Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where can i see A Slice of Life  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Locate the best pub in Apache Junction  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you locate the novel, Ismol Family  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
