Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Circle of Iron in the closet cinema  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is The Country Doctor on the schedule at any theater near me?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I watch Hank Williams: The Show He Never Gave?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to go see A Simple Noodle Story in seventeen seconds at Goodrich Quality Theaters.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate this book a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
rate Scarecrow and the Army of Thieves a three  [predicted:  GetWeather ; correct:  RateBook ]
I want to see Michel Strogoff  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the best Becca  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What movies are at Caribbean Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Love, Marilyn playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What theater is showing From Paris with Love and when?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate Notable American Women a 3 star  [predicted:  BookRestaurant ; correct:  RateBook ]
When can I see Ghost World  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I purchase the Twenty Chickens for a Saddle saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please make a booking at Sonoy in Montague, LA.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
is it possible to see Corn at eleven A.M. at Loews Cineplex Entertainment  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show movie schedule of The Big Mouth  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where to buy book Charlie Countryman deve morire  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
where is No Sleep til Shanghai showing in three hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can I hear the song American High.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When and where is Invitation to the Waltz playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
in one hour find King of Hearts  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time is Unholy Women playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate The Sneetches and Other Stories a three  [predicted:  GetWeather ; correct:  RateBook ]
What films are at National Amusements  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate The Honourable Jim a three  [predicted:  GetWeather ; correct:  RateBook ]
Where can I watch Gaddar: The Traitor?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play Tales from the Organ Trade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Everybody Wins trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the game Sugarfoot  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate Recovery Road a three  [predicted:  GetWeather ; correct:  RateBook ]
What theater is playing Haunted Honeymoon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is Crime and Punishment U.S.A. showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what is the forecast in 23 hours and seventeen seconds at this current spot  [predicted:  RateBook ; correct:  GetWeather ]
Where will The Blonde from Peking be playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is The Ladies Diplomat playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to book a restaurant in 40 weeks in Iowa.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where to buy Unarchigal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What film is playing nearby  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give The Plague a 0  [predicted:  GetWeather ; correct:  RateBook ]
I want to eat in Ramona  [predicted:  GetWeather ; correct:  BookRestaurant ]
What time is High Schools playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I get the showtimes for The Man Who Could Talk to Kids?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I view the photograph of Johnny Cool  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time is The Queen of Moulin Rouge playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Monie Love tunes on Google Music from 1984 from her song list  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to play the video game The Coyote Kings of the Space-Age Bachelor Pad  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What time is Wild and Wooly playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where is The Chief Cook playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Search for the Complots  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is Just Like in the Old Country  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to the latest ballad from Ira Losco  [predicted:  GetWeather ; correct:  PlayMusic ]
Where can i see Love Me Tonight  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
The book Choper, Coffee, Gilson should get a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
Where and when is Polish Economy playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Mission to Mir  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Long Hello and Short Goodbye, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Rate The Art of Struggle 3  [predicted:  GetWeather ; correct:  RateBook ]
Give The Pirates of Manhattan a 1  [predicted:  GetWeather ; correct:  RateBook ]
Start up my Pachangueo Total playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Fox Theatres with The Caretaker  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is In Old New Mexico showing today?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show the schedule of Unborn but Forgotten  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Open google music and play Women of Jazz playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is Marty Stuart discography  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please search the song Poomadhathe Pennu.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to listen to opera on Youtube  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Get a chimichanga meal at a bakery  [predicted:  GetWeather ; correct:  BookRestaurant ]
When will So Happy Together begin playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look for the Itv.com song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please pull up the album, The Last War  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Open the playlist from Sergei Chatschatrjan  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
The trapaholics needs another artist added.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find me the novel with the name To Lose My Life…  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
put Unbound into found them first for me  [predicted:  GetWeather ; correct:  AddToPlaylist ]
find Careless Love  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find time for Ace of the Saddle  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Arthur 2 – On the Rocks playing at 20:44?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can I see William Comes to Town at KB Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Go to the photograph The Inflated Tear  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where do i purchase the book, Baby-Sittor?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find the schedule for Success.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where is The Incite Mill playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Brandy in the Wilderness  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can my electro sur have this song added to it?  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Is Jappeloup showing at Bow Tie Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Wash playing at the cinema in one minute  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find the schedule for Stacey.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the novel What We Did on Our Holiday  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Lets eat near Oakfield 17 seconds from now at Ted Peters Famous Smoked Fish  [predicted:  GetWeather ; correct:  BookRestaurant ]
Check which cinema currently runs When the Last Sword is Drawn.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Death Is Called Engelchen at Neighborhood Cinema Group  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Search for The Nations  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When is The Blood of Others playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
search for Pat and Margaret  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find the movie Splendor in the Grass  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please find me the Journal of the British Astronomical Association movie.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play the album Making Evening And Night by Cevin Key  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the best Vanessa Peters songs  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I watch The Mark in a cinema  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where can i see A Slice of Life  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when is The Statue showing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where does The Return of the Whistler play at the Bow Tie Cinemas at 03:01:48 A.M.  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Find the schedule for The Tooth Will Out at sunrise.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What are the timings for Starship Troopers 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find me the movie with the title of Twitches  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
where can i watch Willy Wonka & the Chocolate Factory  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find the movie Yoshimi Battles the Hip-Hop Robots  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
the next book is worth two  [predicted:  BookRestaurant ; correct:  RateBook ]
Add Falling Stars to my Intense Studying  [predicted:  RateBook ; correct:  AddToPlaylist ]
Where can I watch Portrait of a Woman, Nude in 1 hour?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Rate Deception a one  [predicted:  GetWeather ; correct:  RateBook ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Love and Other Troubles playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to find a nice coffeehouse in South Burlington Illinois  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
SCORE:  2731 / 3140  ( 0.8697452229299363 )
Looking for the album by the New Zealand Local Government  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
What are the Mann Theatres showtimes for Secret Sunshine  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get me the All Night Long 3: The Final Chapter novel?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Make reservations for me at a taverna in Hong Kong  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find the schedule for The Pearl of Cleopatra.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me the novel of A Dictionary of Slang and Unconventional English  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play the song Two Suns In The Sunset by Airi Suzuki  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play Noche de chicas playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Give ma list of films at Harkins Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Asiate restaurant in Sturgeon for 7  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look for All That Matters  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need Top Gear 2, please search it for me.  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
does Red e Toby nemiciamici start thirteen hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play the next ep by Video Game Pianist on netflix  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find me a movie with the name Oshin  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find the movie Shake Your Spirit  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I would like to rate The Giant Devil Dingo a 4.  [predicted:  BookRestaurant ; correct:  RateBook ]
What is the showtime for Arsho  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play something off my New Boots playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is Holy Matrimony playing at National Amusements?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where is The Chief Cook playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is Children of Divorce playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Ghost Breakers playing at Plitt Theatres in two hours  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
where can i watch Wartime Romance in the morning  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find the schedule for Brick.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find the novel The Thunder Rolls  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Need the book called ANAK  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
