Find me a soundtrack by Ghost Town Prophecy  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
add Irish Heartbeat to my Trapeo playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Attack Surface Analyzer, a painting  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Get Jump Down painting  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Donny Tourette's Push The Button  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Terror Within  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
put my Family Road Trip playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Something Crucial, a book  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I get Harry Potter and the Philosopher’s Stone  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show song Black Heart White Soul  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the Hopeless Romantic photograph  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add thomas anders to my crossroad blues  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'm looking for the last track by Fei Yu Ching from the fourties  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Lastfm.  [predicted:  BookRestaurant ; correct:  PlayMusic ]
play No More Sorrow  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can the artist big mama thornton be put onto my Trabajo Relax playlist?  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to see Breathless  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
add Dunja, du to my ejercicio playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add Animal Stories to maryanne's by Per Yngve Ohlin  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find The Madwoman in the Attic.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Valley of the Dolls  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show The Singles Collection Volume 4  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Remains of the Day  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is Boo to You Too! Winnie the Pooh playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Rate Three Men Out a three  [predicted:  PlayMusic ; correct:  RateBook ]
The book Organization of Behavior deserves two points.  [predicted:  PlayMusic ; correct:  RateBook ]
Give me the Spirit the Earth Aflame TV show.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Looking for Kepler scientific workflow system  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Mary Kom starting in one hour  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Add Ashley McIsaac to my r&b party classics playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Show The Swan Princess  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
put four in blue onto Ultimate 00s.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Show The Collectors video game  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
give me some Hank Shermann from 1975 on Lastfm  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Add giancarlo erra to my Guitar Hero Live Playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
where can i watch Key to the City  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a time of 21 minutes from now for here  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Sappho  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
add Our Favorite Things to Reggae BBQ playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add Bronislau Kaper to the drive playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Trivial Pursuit: America Plays  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
A Shawnna to the Warm Hearts Feel Good playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find the Radical History Review saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add exorcising ghosts to joy's thrash attack playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add decade in the sun best of stereophonics to laundry.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Want to see the Dungeons & Dragons: Chronicles of Mystara  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
When is Watchman Vadivel playing?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
show me NeuroToxicology  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me East Side Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play my Hot 50 playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Show me the Sex Therapy painting  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Rate Star Wars - The Old Republic: Revan 1 points  [predicted:  PlayMusic ; correct:  RateBook ]
add ali lohan songs in Club Hits  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Search for TERA: The Exiled Realm of Arborea  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find me Recorder and Randsell  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the Three Little Pigs television show  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Many Loves of Dobie Gillis  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add robin trower to feminist friday playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want seating for five near the pool at the pub  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Put Sayuri Iwata onto my complete chaos playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add lisa m to my guitar hero live playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add little pattie track in Nu Metal  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Add ramble on to Halloween Teens  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Is Gods of Metal playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
show Angels of Iron television show  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play The Nubians of Plutonia trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need a 6 rating or five with something like a saga in The Best Science Fiction of the Year 13  [predicted:  BookRestaurant ; correct:  RateBook ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Put Lo mejor de Radio 3 on in the background  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Show An Actress for the newest album.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the showtime for Arsho  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I get Intel Array Building Blocks  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Rate Of the Subcontract a 0  [predicted:  PlayMusic ; correct:  RateBook ]
Hook me up with a song by Dancing Girl.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is Feast II: No Limit playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find a Loews Cineplex with films  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Find the Steady as She Goes saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book in Falkland Islands at Atomic Cafe  [predicted:  PlayMusic ; correct:  BookRestaurant ]
find Racing the Beam: The Atari Video Computer System  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
How hot will be there in Kanwar Lake Bird Sanctuary tomorrow?  [predicted:  PlayMusic ; correct:  GetWeather ]
Find The New Legend of Shaolin video game  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where to get the movie Fear of a Black Hat  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the Labyrinthe game  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to go see A Troll in Central Park.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Show the Chemdex.com photograph  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
move El Viaje de Copperpot into my Emily Dickinson playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
rate the bok series Preparedness 101: Zombie Apocalypse two for 6 stars  [predicted:  PlayMusic ; correct:  RateBook ]
What's it like in Bahrain right now?  [predicted:  PlayMusic ; correct:  GetWeather ]
show schedule for Loved by Thousands  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Forecast in Layhigh  [predicted:  PlayMusic ; correct:  GetWeather ]
Please add james house to bleeps & bloops  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
in one hour find King of Hearts  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Look for Fighting Vipers 2  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find FANatic.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
rate American Tabloid a 0  [predicted:  PlayMusic ; correct:  RateBook ]
Please find Pretty Baby  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show Olympia 81 saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
when this evening is Casa Amor: Exclusive for Ladies playing and where  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Get soundtrack of Comprehensive Knowledge Archive Network  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
put coming back to life onto winter music  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
The ultimate 90s needs avant que l’ombre à bercy in it.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find the Stone Free game  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find KB Theatres with movies  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
add zamiast burzy to Phunkadelic  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play Live at Leeds  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
SCORE:  2728 / 3140  ( 0.8687898089171975 )
I want to book a restaurant in 40 weeks in Iowa.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Is the start eim 23 hours twenty one minutes and one second from now for Morgan – A Suitable Case for Treatment at Santikos Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play nineties music.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Got Djent?  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
add madlib invazion to my prog rock monsters list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add the man who never lied to my current comedy top tracks  [predicted:  RateBook ; correct:  AddToPlaylist ]
book north indian osteria at 12 am  [predicted:  GetWeather ; correct:  BookRestaurant ]
I would like to hear lastfm play journey.  [predicted:  BookRestaurant ; correct:  PlayMusic ]
Where is Chips in Crouch  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Add chen jiafeng to Ultimate 00s  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
book Tun Tavern for shawna davis, michelle and lizzie in Vermont  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Add gregory douglass to my WHM list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Please open pandora for me  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play some symphonic rock.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
table at Nankin Cafe fr one  [predicted:  PlayMusic ; correct:  BookRestaurant ]
book at Dutchess Manor in Portugal for 6  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Where is Walt: The Man Behind the Myth playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Play some pop music.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play some Prabha Atre  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
book in OH in Gurabo for velma and gloria  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Add Tony Kakko music to Street Dance playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play 2011 music  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
rate The Road to Reality: A Complete Guide to the Laws of the Universe two points  [predicted:  AddToPlaylist ; correct:  RateBook ]
Put Sayuri Iwata onto my complete chaos playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
put Before the Eulogy onto Acoustic Blues  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play Darude  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is it currently cold in Elsmore, Luxembourg?  [predicted:  PlayMusic ; correct:  GetWeather ]
Play some Jerry Dixon  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Add Live from Aragon Ballroom to Trapeo  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
A Shawnna to the Warm Hearts Feel Good playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
1 point for this next textbook  [predicted:  PlayMusic ; correct:  RateBook ]
Season of the Witch: How the Occult Saved Rock and Roll gets five points  [predicted:  PlayMusic ; correct:  RateBook ]
I want to see Breathless  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Add you are i am to the trending playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add songs tune in Reggae Infusions  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Please put maimi yajima's song onto Operación Bikini.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add Bedroom Jams to album  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
play latest Shaggy music  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find me a nice restaurant in Mulvane.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play tune from Sonny Stitt  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
IS Anti-Semitism in the 21st Century: The Resurgence playing now  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Looking for Kepler scientific workflow system  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find movie titled Triumph of the Spirit  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
weather in Radnor Township, WV  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
For the saga The End of a Family Story I give 0 stars  [predicted:  SearchCreativeWork ; correct:  RateBook ]
Play some Darkcore.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Show Acta Mathematicae Applicatae Sinica TV show  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Weather for 9/3/2034 at Bridle Trails State Park  [predicted:  PlayMusic ; correct:  GetWeather ]
Play The Fool On The Hill by Khwaja Ghulam Farid  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play some Geir Jenssen.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Magic Time by Phoebus  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play some Laurie Anderson.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play a Jack Lawrence concerto  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please include Emily Remler in Indie Bluegrass  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play itunes and Vimeo music  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Chantal Kreviazuk, Sister Ray  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Book the Great House at Sonning distant from Gun Hill Rd.  [predicted:  PlayMusic ; correct:  BookRestaurant ]
add tolmatschowa schwestern to my Street Dance playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
is there expected of rainfall in Horton of Connecticut  [predicted:  PlayMusic ; correct:  GetWeather ]
rate Opération Sweet Tooth 2 points  [predicted:  PlayMusic ; correct:  RateBook ]
Find The Boys in the Band.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add Karin Dreijer Andersson in Escapada album  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
