When can I see Journey to the End of the Night?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Medal for the General  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need to see Cristo in India  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to eat at the Original Spanish Kitchen in North Carolina  [predicted:  GetWeather ; correct:  BookRestaurant ]
find animated movie at Landmark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book Tartine in Mississippi for 5  [predicted:  RateBook ; correct:  BookRestaurant ]
What's the weather like in the Dana Biosphere Reserve six years from now  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Lost in Space  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I am looking for a creative work called Something Warm  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find a reservation at the Roseland Theater at 10 pm  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is Convoy Busters playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show creative work or Miami Vice Theme  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
book now in KY at Loveless Cafe  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Book a table at The Vortex Bar & Grill on Alaska Day in the state of Rhode Island  [predicted:  GetWeather ; correct:  BookRestaurant ]
Make me a reservation somewhere near here for me and my step brother by adeline's apartment  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find the schedule for Death Valley Manhunt.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I find the creative works The Very Best of Simply Red  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need a table at somewhere within walking distance of NV on november the 24th, 2027  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I see Getting There: Sweet 16 and Licensed to Drive  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to eat at Old Dutch in 15 seconds in Northern Mariana Islands  [predicted:  GetWeather ; correct:  BookRestaurant ]
Show me when and where I can see Song of Summer  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
show animated movie at Century Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
casey and I will be in Kentucky for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you make a reservation for next year in Modesto for joanna and ella  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to watch Apocalypse 2024  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the schedule for The Kentuckians.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time can I watch Son of Rambow Tonight at Fox Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Do you know of a song by the Mande Studies Association?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please play my Happy House playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find the schedule for Success.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look up the movie schedule  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need to know what theatre is playing A Happy Coersion  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Proudly She Marches playing anywhere?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Make a reservation far away at The Spotted Pig in SD.  [predicted:  GetWeather ; correct:  BookRestaurant ]
put my Family Road Trip playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
When can I see Ghost World  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play music from artist Ashley  [predicted:  GetWeather ; correct:  PlayMusic ]
book at Tavern on the Green for in 1 minute in CO  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play my Romántica playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Reserve a table in Top of the Mark Lambertville, Vermont.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need a table in Iron Gates in one minute  at the Weathervane Restaurant  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is Babar: King of the Elephants playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book cornelia and bettie a table at a brasserie restaurant in Colombia  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play my Women of Rock playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Book me a reestaurant that is close in the country of Cocos Islands  [predicted:  GetWeather ; correct:  BookRestaurant ]
find a movie house for Kickboxer 5 – Redemption  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Sympathy for the Devil  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me a movie schedule.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What will the weather conditions be in Hahntown, Wyoming at 1?  [predicted:  BookRestaurant ; correct:  GetWeather ]
I'd like to see showings for All the Way Home at Kerasotes Theatres.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book in Vermont at The Maisonette  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to watch Demolition Man at 11:09 PM  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to eat Louisiana Fried Chicken in McColl, IA  [predicted:  GetWeather ; correct:  BookRestaurant ]
my brother in law and I would like to go to Guinea-Bissau for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
in a week  make a reservation for a table of 7 in District Of Columbia  [predicted:  GetWeather ; correct:  BookRestaurant ]
book at Beardslee Castle in Fairview Lanes for fifteen o'clock  [predicted:  GetWeather ; correct:  BookRestaurant ]
What time does the next movie play around here  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a SOUNDTRACK FOR STUDY purposes.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find a reservation in Deweese for my sister and I  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play The Lure of the Mask song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Manthra Mothiram at Century Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please get seating at Bouchon in Tonga for jimmie and chasity howard  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is Rumor Has It playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book Main Deli Steak House on february 13 in Serbia and Montenegro  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play If You Go  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What time is a movie in the neighbourhood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where and when can I see The Image Makers  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Kebab Connection  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need to book the Beardslee Castle in Albania for me, cassie and lesley  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is The Little Irish Girl playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will you pull up my Jueves de Antaño playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I see Joy of Learning?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Make me a reservation at Illinois Central Railroad Freight Depot in Singapore with vickie rodriguez, lila reyes and ruby  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to book the Clarke Cooke House in Uzbekistan  [predicted:  GetWeather ; correct:  BookRestaurant ]
Give me the current showtimes for Tarass Boulba.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Lets eat at Newport Creamery in Carnot  [predicted:  GetWeather ; correct:  BookRestaurant ]
Check the weather forecast in seven weeks for Emida.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is there a showing of A Matter of Degrees at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play me an album by Lunchbox  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Cry Baby Lane  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is the weather forecast going to be on august 15, 2038 for Hoffman Hills State Recreation Area?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
play The New Noise Theology E.P.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'm looking for the work titled Converging Conspiracies  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What are the timings for Starship Troopers 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
SCORE:  2908 / 3129  ( 0.929370405880473 )
Play my Frescura Indie playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find The Flying Ace  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get me seating for a party of 5  [predicted:  RateBook ; correct:  BookRestaurant ]
I want to see Medal for the General  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
open the Canciones del Recuerdo playlist and play songs  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want food in Zaleski  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
book Helianthushof in Hurffville, NJ  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What's the temperature here  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I need a table in the state of LA for katina and josefina gray  [predicted:  GetWeather ; correct:  BookRestaurant ]
Forecast in Layhigh  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to dine in Luray  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I need a time of 21 minutes from now for here  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to book a table at Black Horse Tavern in Georgia at 4 am  [predicted:  GetWeather ; correct:  BookRestaurant ]
book spot at Candle Cafe  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to know the weather in ten weeks from now in John N and Melba S Anderson Memorial Conservation Area  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can I hear a tune from Vladimir Vysotski?  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play Post Garage Wave Revival playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
show weather forecast for Dovre-Nationalpark  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Show me the Dresden weather forecast.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to book a restaurantin Perrytown Missouri for candice, jeannie and nichole.  [predicted:  GetWeather ; correct:  BookRestaurant ]
What is the weather forecast in the country of Chile fifteen hours from now  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is it better in Holi or here  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to see Snowball Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play The Aviation Cocktail album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to book a restaurant in Tunisia for nelda, rae and I at 01:55:48 p.m.  [predicted:  GetWeather ; correct:  BookRestaurant ]
book The Kegs Drive-In in 37 weeks  in Saudi Arabia  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What is the forecasted weather for Ninaview?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can you play me songs from the Estado de ánimo playlist?  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like a reservation at a place in Iran for neva, alice and maggie parker.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to see Shattered Image.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it possible to see Seed of Chucky  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Need weather forecast for Stacy in Vanuatu  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Hear Me Good  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
table at Nankin Cafe fr one  [predicted:  RateBook ; correct:  BookRestaurant ]
Book me a reservation for Fatty Crew in 13 weeks in Haskell  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Book a reservation for a party of 6 at The Waterside Inn  [predicted:  RateBook ; correct:  BookRestaurant ]
What is the predicted weather on mar. 27 for Farragut State Park?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is there any way to see Tailspin Tommy in the Great Air Mystery  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What theater is playing Death Drums Along the River at 5 PM  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Make me a reservation in Cedarburg at 0 pm  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
need a table somewhere in McLaurin Connecticut  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to see The Da Vinci Code  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Need a reservation close-by East Hanover.  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Death Is Called Engelchen at Neighborhood Cinema Group  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show weather forecast for Lewis Center  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
book a table at the Irma Hotel in Mount Repose  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
book Tun Tavern for shawna davis, michelle and lizzie in Vermont  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can you play some music by andrew diamond  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Vegucated starting at zero pm  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Three in the Attic  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Reserve me a resturant for 5 at seventeen o'clock  [predicted:  RateBook ; correct:  BookRestaurant ]
