Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is the forecasted weather for Ninaview?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where theater is playing The Ranger and the Lady at 10 AM  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What's the weather forecast at sixteen in Oklahoma?  [predicted:  BookRestaurant ; correct:  GetWeather ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is the predicted weather on mar. 27 for Farragut State Park?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can you let me know where I can watch The Nest?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Far Cry Vengeance  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you get me seating for a party of 4  [predicted:  RateBook ; correct:  BookRestaurant ]
I would like to book a reservation for kaitlin and I at Lone Star Cafe  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play something from my Songs For You, Not Your Parents playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
book spot in Lebanon for ten weeks from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where the Sky Meets the Land time playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book Helianthushof in Hurffville, NJ  [predicted:  RateBook ; correct:  BookRestaurant ]
What is the weather forecast in the country of Chile fifteen hours from now  [predicted:  BookRestaurant ; correct:  GetWeather ]
when this evening is Casa Amor: Exclusive for Ladies playing and where  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to go to Antigua and Barbuda and eat at a table for 4.  [predicted:  RateBook ; correct:  BookRestaurant ]
What is the television show Phil Ochs: There but for Fortune playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Book restaurnt at N9NE Group in Loogootee UT  [predicted:  GetWeather ; correct:  BookRestaurant ]
fimd Glory  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
SCORE:  3044 / 3140  ( 0.9694267515923567 )
Can you play something off Johan Larsson's Travelers And Thieves  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to hear music from the genre Ecossaise  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is Bernardsville?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I want to hear from Pepe Marchena song Delaware  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear music off my Indie Festival playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Love In Paris needs some frank farian in the playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
gwen carter and I want a reservation in the Dominican Republic  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please play songs by Lil Jon  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to hear something from Post-punk Revival  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I need to get seats for me and my ex wife to eat in Egypt.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Let me know when I can watch Actrices.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the weather forecast going to be on august 15, 2038 for Hoffman Hills State Recreation Area?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Put What Color Is Your Sky by Alana Davis on the stereo.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the album entitled Se Potrei Avere Te.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Where is Belgium located  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Plpay my Disco Fever playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Give me the current showtimes for Tarass Boulba.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear my Entre los Andes playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Tell me what the weather will look like here at 01:50  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find The Branded Woman  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
me and my niece want to eat somewhere close by Hopatcong  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
find Blood and Bones  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I find Paranormal Activity 3 playing near me 1 hour from now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time could I see A Mile in His Shoes?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see weather conditions for Ennis.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play my Women of Rock playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
On lea's saturday night playlist add the name D Generation  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Play the Vic Damone album named Tuonela  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Start blasting my Latin Jazz playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear something eclectic  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Quiet Night In  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give me some Last Emperor  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I need a reservation in Pitcairn Islands for any restaurant  joint  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Please give me the weather for Federated States Of Micronesia.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where the The Housemaid playing and when  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When and where can I watch National Priority?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Put The Silent Enigma album by Yoko Kanno  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
what movie is at Loews Cineplex Entertainment  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What will the temperature be at midnight in NE  [predicted:  BookRestaurant ; correct:  GetWeather ]
put on a Serge Robert track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play my Black Sabbath: The Dio Years playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Put Lo mejor de Radio 3 on in the background  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
When is sunrise for AR  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
put El Mejor Rock en Español playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find Captain Kronos - Vampire Hunter.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to eat at ten PM. anywhere neighboring to our house  [predicted:  GetWeather ; correct:  BookRestaurant ]
I wanna listen to Electroclash  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What time does Military history of African Americans play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
for my té para tres list add cut the world  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to hear music from the Lotus Flower album by Andy Mccoy  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Could you play the album B Men Gahō by Nathaniel Shilkret  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Check the weather forecast in seven weeks for Emida.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
For the Classic Road Trip Songs add the entity unwelcome  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
What is the forecast this evening for the Calipuy National Reservation  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
find Lost in Space  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Let's listen to the best from Jeff Loomis.  [predicted:  BookRestaurant ; correct:  PlayMusic ]
Make me a reservation within walking distance in WY for 6 pm  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to hear the new Latin Pop Rising list  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the music genre Synthpop  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please play my Happy House playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play something from the genre muzyka pop  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I would like to make a reservation for 2 for brunch.  [predicted:  RateBook ; correct:  BookRestaurant ]
I need a SOUNDTRACK FOR STUDY purposes.  [predicted:  BookRestaurant ; correct:  PlayMusic ]
Let's hear something from Elena Risteska  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Let's listen to Matthew Shipp.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play me something by Funtwo  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I would like to hear The Worst Is Yet To Come.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What is the forecast at 12 am in Sudan  [predicted:  BookRestaurant ; correct:  GetWeather ]
when is sunrise in AMerican Samoa  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I want to hear anything from the Rock Symphonique genre please.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Go to my all out 00s and add brian wilson  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Can you play some music from my road trip album  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find The Colour of the Chameleon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Add to the Rock Games  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
book at Dutchess Manor in Portugal for 6  [predicted:  RateBook ; correct:  BookRestaurant ]
Play music from my relentless playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please play playlist TODO REGGAETON  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Let's hear stuff from Andrew Hewitt.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please play the genre Rock Strumentale.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Andreas Hofer at elevenses  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play music by artist mark ashley  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
book The Lake House for me and carmella  [predicted:  RateBook ; correct:  BookRestaurant ]
SCORE:  3053 / 3140  ( 0.9722929936305732 )
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the predicted weather for Wells in Indiana?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Please play songs by Lil Jon  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Chained Heat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will the weather be okay in Northern Luzon Heroes Hill National Park 4 and a half months from now?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I read the book The Omega Stone?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
play Live at Leeds  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find information about the album Flipper City  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
What's the weather like when you're distant from Greenport  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play my Electro Sur playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play Keep Their Heads Ringin’  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please check the weather forecast near supper time here.  [predicted:  BookRestaurant ; correct:  GetWeather ]
What was the weather like last may at Altai Tavan Bogd National Park  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What's the weather like in the Dana Biosphere Reserve six years from now  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play the last Wellman Braud album relaesd  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
book The Kegs Drive-In in 37 weeks  in Saudi Arabia  [predicted:  RateBook ; correct:  BookRestaurant ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book a restaurant reservation for me and my child for 2 Pm in Faysville  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like a reservation at a place in Iran for neva, alice and maggie parker.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play my Trapeo playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is the expected weather forecast for Beckley?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Tell me the forecast for Elderton, Indiana in 19 hours  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to listen to the track Close To The Edge  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find The Bride  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What's the wather in Coleville, Kenya  [predicted:  BookRestaurant ; correct:  GetWeather ]
What is the temperate in Beltsville  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Show me the Dresden weather forecast.  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Tales from the Organ Trade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play music from artist Ashley  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play my Romántica playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is the weather supposed to be like at Sunset in Cosby, Kansas  [predicted:  BookRestaurant ; correct:  GetWeather ]
play Cry Baby Lane  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
