onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
Obrigado  [predicted:  get ; correct:  thanks ]
Como cadastra?  [predicted:  get ; correct:  help ]
SCORE:  9 / 30  ( 0.3 )
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
oi  [predicted:  get ; correct:  welcome ]
Novo pacote  [predicted:  get ; correct:  add ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
boa noite  [predicted:  get ; correct:  greeting ]
Como cadastro?  [predicted:  get ; correct:  help ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Burro  [predicted:  get ; correct:  bad ]
Cadastrar  [predicted:  get ; correct:  add ]
Como funciona  [predicted:  get ; correct:  help ]
Obrigado  [predicted:  get ; correct:  thanks ]
Obrigada  [predicted:  get ; correct:  thanks ]
Novo  [predicted:  get ; correct:  add ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
bom dia  [predicted:  get ; correct:  greeting ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
boa tarde  [predicted:  get ; correct:  greeting ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
SCORE:  3 / 30  ( 0.1 )
caralho  [predicted:  get ; correct:  bad ]
Beleza  [predicted:  get ; correct:  ok ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como você funciona  [predicted:  get ; correct:  help ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Apagar  [predicted:  get ; correct:  delete ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
Ajuda  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
para  [predicted:  get ; correct:  cancel ]
cancela  [predicted:  get ; correct:  cancel ]
Como funciona  [predicted:  get ; correct:  help ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
cancelar  [predicted:  get ; correct:  cancel ]
parar  [predicted:  get ; correct:  cancel ]
SCORE:  6 / 30  ( 0.2 )
Até logo  [predicted:  get ; correct:  bye ]
caralho  [predicted:  get ; correct:  bad ]
cancela  [predicted:  get ; correct:  cancel ]
Até mais  [predicted:  get ; correct:  bye ]
Apagar  [predicted:  get ; correct:  delete ]
Cadastro de código  [predicted:  help ; correct:  add ]
Ajuda  [predicted:  get ; correct:  help ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Cadastro  [predicted:  get ; correct:  add ]
Listar comandos  [predicted:  get ; correct:  help ]
Cadastrar encomenda  [predicted:  help ; correct:  add ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Tudo bem  [predicted:  help ; correct:  ok ]
Beleza  [predicted:  get ; correct:  ok ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
cancelar  [predicted:  get ; correct:  cancel ]
Me ajuda  [predicted:  get ; correct:  help ]
SCORE:  12 / 30  ( 0.4 )
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
cancela  [predicted:  get ; correct:  cancel ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Como funciona  [predicted:  get ; correct:  help ]
Registrar  [predicted:  get ; correct:  add ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
como pode me ajudar  [predicted:  get ; correct:  help ]
boa tarde  [predicted:  get ; correct:  greeting ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Você pode rastrear um objeto para mim?  [predicted:  help ; correct:  get ]
caralho  [predicted:  get ; correct:  bad ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Novo pacote  [predicted:  get ; correct:  add ]
Novo  [predicted:  get ; correct:  add ]
cancelar  [predicted:  help ; correct:  cancel ]
boa noite  [predicted:  get ; correct:  greeting ]
SCORE:  9 / 30  ( 0.3 )
ok  [predicted:  get ; correct:  ok ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Remover  [predicted:  get ; correct:  delete ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
boa tarde  [predicted:  get ; correct:  greeting ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Olá  [predicted:  get ; correct:  welcome ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
Como cadastro?  [predicted:  get ; correct:  help ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
sai  [predicted:  get ; correct:  cancel ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
deletar  [predicted:  get ; correct:  delete ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
boa noite  [predicted:  get ; correct:  greeting ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Olá robô  [predicted:  get ; correct:  welcome ]
Retirar  [predicted:  get ; correct:  delete ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
SCORE:  5 / 30  ( 0.16666666666666666 )
Até logo  [predicted:  get ; correct:  bye ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Cadastrar  [predicted:  get ; correct:  add ]
Como cadastra?  [predicted:  get ; correct:  help ]
Quero cadastrar  [predicted:  get ; correct:  add ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Burro  [predicted:  get ; correct:  bad ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Até mais  [predicted:  get ; correct:  bye ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
bom dia  [predicted:  get ; correct:  greeting ]
para  [predicted:  get ; correct:  cancel ]
Retirar  [predicted:  get ; correct:  delete ]
Remover  [predicted:  get ; correct:  delete ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Como?  [predicted:  get ; correct:  help ]
sai  [predicted:  get ; correct:  cancel ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
parar  [predicted:  get ; correct:  cancel ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Como eu faço?  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Registrar  [predicted:  get ; correct:  add ]
adicionar objeto  [predicted:  get ; correct:  add ]
Novo pacote  [predicted:  get ; correct:  add ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
adicionar  [predicted:  get ; correct:  add ]
boa noite  [predicted:  get ; correct:  greeting ]
adeus  [predicted:  get ; correct:  bye ]
Novo  [predicted:  get ; correct:  add ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
boa tarde  [predicted:  get ; correct:  greeting ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Até mais  [predicted:  get ; correct:  bye ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Cadastro  [predicted:  get ; correct:  add ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Me ajuda  [predicted:  get ; correct:  help ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Listar comandos  [predicted:  get ; correct:  help ]
Até logo  [predicted:  help ; correct:  bye ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Tudo bem  [predicted:  help ; correct:  ok ]
Cadastrar encomenda  [predicted:  help ; correct:  add ]
Cadastro de código  [predicted:  help ; correct:  add ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
SCORE:  14 / 30  ( 0.4666666666666667 )
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
bom dia  [predicted:  get ; correct:  greeting ]
descadastrar  [predicted:  get ; correct:  delete ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
quem é você?  [predicted:  help ; correct:  saymyname ]
deletar  [predicted:  get ; correct:  delete ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Quero cadastrar um código de rastreio  [predicted:  help ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Registrar  [predicted:  get ; correct:  add ]
Burro  [predicted:  get ; correct:  bad ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Informação  [predicted:  get ; correct:  help ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Cadastrar  [predicted:  help ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Já cadastrou?  [predicted:  help ; correct:  get ]
SCORE:  9 / 30  ( 0.3 )
Consulta  [predicted:  help ; correct:  get ]
descadastrar  [predicted:  help ; correct:  delete ]
cadê  [predicted:  help ; correct:  get ]
Cadastro de código  [predicted:  help ; correct:  add ]
Onde esta a minha encomenda  [predicted:  help ; correct:  get ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Queria saber onde está minha encomenda  [predicted:  help ; correct:  get ]
Quero saber onde está minha encomenda  [predicted:  help ; correct:  get ]
Cadastrar encomenda  [predicted:  help ; correct:  add ]
Quero registrar uma encomenda  [predicted:  help ; correct:  add ]
Consultar  [predicted:  help ; correct:  get ]
Registrar  [predicted:  help ; correct:  add ]
onde está minha encomenda?  [predicted:  help ; correct:  get ]
Cadastro  [predicted:  help ; correct:  add ]
Quero rastrear uma encomenda  [predicted:  help ; correct:  get ]
deletar  [predicted:  help ; correct:  delete ]
Quero fazer um rastreamento  [predicted:  help ; correct:  get ]
Quero cadastrar  [predicted:  help ; correct:  add ]
Registrar uma encomenda  [predicted:  help ; correct:  add ]
quem é você?  [predicted:  help ; correct:  saymyname ]
consultar minha encomenda  [predicted:  help ; correct:  get ]
Quero saber onde minha encomenda está  [predicted:  help ; correct:  get ]
cadê minha encomenda  [predicted:  help ; correct:  get ]
SCORE:  7 / 30  ( 0.23333333333333334 )
quem é você?  [predicted:  get ; correct:  saymyname ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Listar comandos  [predicted:  get ; correct:  help ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
deletar  [predicted:  get ; correct:  delete ]
descadastrar  [predicted:  get ; correct:  delete ]
Me ajuda  [predicted:  get ; correct:  help ]
Tudo bem  [predicted:  help ; correct:  ok ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Não  [predicted:  get ; correct:  cancel ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Registrar  [predicted:  get ; correct:  add ]
SCORE:  10 / 30  ( 0.3333333333333333 )
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Ajuda  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
adicionar  [predicted:  get ; correct:  add ]
Como cadastro?  [predicted:  get ; correct:  help ]
Beleza  [predicted:  get ; correct:  ok ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Registrar  [predicted:  get ; correct:  add ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
adeus  [predicted:  get ; correct:  bye ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
adicionar objeto  [predicted:  get ; correct:  add ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
Apagar  [predicted:  get ; correct:  delete ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
SCORE:  7 / 30  ( 0.23333333333333334 )
