Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
SCORE:  4 / 30  ( 0.13333333333333333 )
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Obrigada  [predicted:  get ; correct:  thanks ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
oi  [predicted:  help ; correct:  welcome ]
Como funciona  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
cancelar  [predicted:  help ; correct:  cancel ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Consulta  [predicted:  help ; correct:  get ]
Obrigado  [predicted:  help ; correct:  thanks ]
cadê  [predicted:  help ; correct:  get ]
caralho  [predicted:  help ; correct:  bad ]
Tudo bem  [predicted:  get ; correct:  ok ]
cancela  [predicted:  get ; correct:  cancel ]
SCORE:  12 / 30  ( 0.4 )
Todos  [predicted:  help ; correct:  get ]
adicionar  [predicted:  help ; correct:  add ]
tchau  [predicted:  get ; correct:  bye ]
sair  [predicted:  get ; correct:  cancel ]
Gostaria de uma informação  [predicted:  add ; correct:  help ]
Já se moveu?  [predicted:  help ; correct:  get ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
adeus  [predicted:  help ; correct:  bye ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
adicionar objeto  [predicted:  get ; correct:  add ]
Tudo bem  [predicted:  get ; correct:  ok ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Listar comandos  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
SCORE:  14 / 30  ( 0.4666666666666667 )
cancelar  [predicted:  help ; correct:  cancel ]
Quero cadastrar  [predicted:  help ; correct:  add ]
quem é você?  [predicted:  help ; correct:  saymyname ]
Quero rastrear uma encomenda  [predicted:  help ; correct:  get ]
boa tarde  [predicted:  help ; correct:  greeting ]
Quero fazer um rastreamento  [predicted:  help ; correct:  get ]
sai  [predicted:  help ; correct:  cancel ]
Eu quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
caralho  [predicted:  help ; correct:  bad ]
Rastrear  [predicted:  help ; correct:  get ]
Checar minhas encomendas  [predicted:  help ; correct:  get ]
Quero saber onde minha encomenda está  [predicted:  help ; correct:  get ]
Remover  [predicted:  help ; correct:  delete ]
Código  [predicted:  help ; correct:  get ]
boa noite  [predicted:  help ; correct:  greeting ]
Chega q dia?  [predicted:  help ; correct:  get ]
Boa tarde então  [predicted:  help ; correct:  greeting ]
Entrega  [predicted:  help ; correct:  get ]
Quero saber onde está minha encomenda  [predicted:  help ; correct:  get ]
cancela  [predicted:  help ; correct:  cancel ]
Encomenda  [predicted:  help ; correct:  get ]
Consulta  [predicted:  help ; correct:  get ]
Quero registrar uma encomenda  [predicted:  help ; correct:  add ]
Rastrear encomenda  [predicted:  help ; correct:  get ]
Quero rastrear um pacote  [predicted:  help ; correct:  get ]
Queria saber onde está minha encomenda  [predicted:  help ; correct:  get ]
Retirar  [predicted:  help ; correct:  delete ]
Quero ver meus produtos  [predicted:  help ; correct:  get ]
SCORE:  2 / 30  ( 0.06666666666666667 )
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Como eu faço?  [predicted:  get ; correct:  help ]
Como cadastro?  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
cancela  [predicted:  get ; correct:  cancel ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Cadastrar  [predicted:  get ; correct:  add ]
Informação  [predicted:  get ; correct:  help ]
caralho  [predicted:  get ; correct:  bad ]
bom dia  [predicted:  get ; correct:  greeting ]
boa tarde  [predicted:  get ; correct:  greeting ]
Burro  [predicted:  get ; correct:  bad ]
sai  [predicted:  get ; correct:  cancel ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
boa noite  [predicted:  get ; correct:  greeting ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
cancelar  [predicted:  get ; correct:  cancel ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Remover  [predicted:  get ; correct:  delete ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Retirar  [predicted:  get ; correct:  delete ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
SCORE:  6 / 30  ( 0.2 )
Tudo bem  [predicted:  get ; correct:  ok ]
Cadastro  [predicted:  help ; correct:  add ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
cancelar  [predicted:  get ; correct:  cancel ]
Beleza  [predicted:  get ; correct:  ok ]
Obrigada  [predicted:  help ; correct:  thanks ]
Obrigado  [predicted:  get ; correct:  thanks ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Consulta  [predicted:  help ; correct:  get ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
oi  [predicted:  get ; correct:  welcome ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
Não  [predicted:  get ; correct:  cancel ]
Apagar  [predicted:  get ; correct:  delete ]
cancela  [predicted:  get ; correct:  cancel ]
caralho  [predicted:  help ; correct:  bad ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Cadastro de código  [predicted:  get ; correct:  add ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
SCORE:  10 / 30  ( 0.3333333333333333 )
Apagar  [predicted:  help ; correct:  delete ]
Ótimo!  [predicted:  help ; correct:  ok ]
Quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
pacote  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
como pode me ajudar  [predicted:  get ; correct:  help ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Olá robô  [predicted:  get ; correct:  welcome ]
Quero cadastrar um código de rastreio  [predicted:  help ; correct:  add ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Olá  [predicted:  get ; correct:  welcome ]
Ajuda  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
Tudo bem  [predicted:  get ; correct:  ok ]
ok  [predicted:  help ; correct:  ok ]
Gostaria de fazer um cadastro  [predicted:  help ; correct:  add ]
Beleza  [predicted:  get ; correct:  ok ]
SCORE:  10 / 30  ( 0.3333333333333333 )
para  [predicted:  help ; correct:  cancel ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
parar  [predicted:  help ; correct:  cancel ]
Consultar  [predicted:  help ; correct:  get ]
Registrar uma encomenda  [predicted:  help ; correct:  add ]
qual a situação da minha encomenda?  [predicted:  help ; correct:  get ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
consultar minha encomenda  [predicted:  help ; correct:  get ]
Registrar  [predicted:  get ; correct:  add ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
boa tarde  [predicted:  help ; correct:  greeting ]
Cadastrar encomenda  [predicted:  help ; correct:  add ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
oi  [predicted:  help ; correct:  welcome ]
boa noite  [predicted:  help ; correct:  greeting ]
palavrão você entende né filho da puta  [predicted:  help ; correct:  bad ]
Cadastro de código  [predicted:  help ; correct:  add ]
Obrigado  [predicted:  help ; correct:  thanks ]
Boa tarde então  [predicted:  help ; correct:  greeting ]
Obrigada  [predicted:  help ; correct:  thanks ]
Cadastro  [predicted:  help ; correct:  add ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Como cadastro?  [predicted:  get ; correct:  help ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Como cadastra?  [predicted:  get ; correct:  help ]
Até logo  [predicted:  get ; correct:  bye ]
Como?  [predicted:  get ; correct:  help ]
Até mais  [predicted:  get ; correct:  bye ]
Não  [predicted:  get ; correct:  cancel ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Muito obrigado  [predicted:  help ; correct:  thanks ]
Não  [predicted:  help ; correct:  cancel ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Cadastrar  [predicted:  help ; correct:  add ]
adicionar objeto  [predicted:  get ; correct:  add ]
sai  [predicted:  get ; correct:  cancel ]
adicionar  [predicted:  get ; correct:  add ]
boa tarde  [predicted:  get ; correct:  greeting ]
Retirar  [predicted:  get ; correct:  delete ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Burro  [predicted:  get ; correct:  bad ]
adeus  [predicted:  get ; correct:  bye ]
boa noite  [predicted:  get ; correct:  greeting ]
bom dia  [predicted:  get ; correct:  greeting ]
Remover  [predicted:  get ; correct:  delete ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
SCORE:  11 / 30  ( 0.36666666666666664 )
Informação  [predicted:  get ; correct:  help ]
ok  [predicted:  get ; correct:  ok ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Olá  [predicted:  get ; correct:  welcome ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Não  [predicted:  get ; correct:  cancel ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Como você funciona  [predicted:  get ; correct:  help ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como cadastro?  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Olá robô  [predicted:  get ; correct:  welcome ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
SCORE:  11 / 30  ( 0.36666666666666664 )
Código  [predicted:  help ; correct:  get ]
cadê  [predicted:  help ; correct:  get ]
Todas  [predicted:  help ; correct:  get ]
Quero saber onde está minha encomenda  [predicted:  help ; correct:  get ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
Quero registrar uma encomenda  [predicted:  help ; correct:  add ]
Visualizar rastreamento  [predicted:  help ; correct:  get ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
Chega q dia?  [predicted:  help ; correct:  get ]
Lista  [predicted:  help ; correct:  get ]
Tudo bem  [predicted:  help ; correct:  ok ]
cancela  [predicted:  help ; correct:  cancel ]
Legal! Mas onde está minha encomenda?  [predicted:  help ; correct:  get ]
cadê minha encomenda  [predicted:  help ; correct:  get ]
caralho  [predicted:  help ; correct:  bad ]
tchau  [predicted:  help ; correct:  bye ]
sair  [predicted:  help ; correct:  cancel ]
Todos  [predicted:  help ; correct:  get ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
cancelar  [predicted:  help ; correct:  cancel ]
pacote  [predicted:  help ; correct:  add ]
Ótimo!  [predicted:  help ; correct:  ok ]
Listar  [predicted:  help ; correct:  get ]
Checar minhas encomendas  [predicted:  help ; correct:  get ]
tenha um bom dia  [predicted:  help ; correct:  greeting ]
Quero saber onde minha encomenda está  [predicted:  help ; correct:  get ]
SCORE:  4 / 30  ( 0.13333333333333333 )
